English,Polish
kitchen,kuchnia
matter,materiał
hurt,zraniony
fall,jesień
wear,nosić 
isn't,nie jest
woman,kobieta
eat,jeść
lie,kłamstwo
hell,piekło
suppose,przypuszczać
cover,okładka
couple,para
large,duży
either,albo
five,pięć
leg,noga
jump,skok
die,umierać
return,powrót
able,zdolny
bag,torba
alone,sam
shut,zamknąć
stuff,rzeczy
short,krótki
ready,gotowy
understand,zrozumieć
kept,trzymane
plan,plan
raise,wznosić
street,ulica
different,różny
problem,problem
break,przerwa
line,linia
early,wczesny
cut,cięcie
cold,zimno
paper,papier
scream,krzyk
instead,Zamiast
stupid,głupi
silence,cisza
tree,drzewo
caught,złapany
ear,ucho
food,żywność
full,pełny
four,cztery
cause,przyczyna
fuck,pierdolić
explain,wyjaśnić
expect,oczekiwać
fight,walka
exactly,Dokładnie
sort,sortować
completely,całkowicie
men,mężczyźni
dance,taniec
met,spotkał
story,fabuła
whatever,cokolwiek
build,zbudować
speak,mówić
glass,szkło
pain,ból
check,sprawdzać
glare,blask
corner,narożnik
Mrs.,Pani.
chest,klatka piersiowa
hot,gorący
rather,raczej
month,miesiąc
real,prawdziwy
touch,dotykać
park,park
bring,przynieść
they're,Oni
drink,drink
ago,temu
force,siła
you've,ty
fast,szybko
lost,zaginiony
attention,uwaga
wish,życzenie
mark,ocena
wave,fala
shout,krzyczeć
fill,wypełnić
begin,zaczynać
baby,Dziecko
interest,odsetki
money,pieniądze
fun,zabawa
green,zielony
however,Jednakże
cheek,policzek
mine,kopalnia
clear,jasne
brown,brązowy
forward,do przodu
near,w pobliżu
picture,zdjęcie
may,móc
cool,Fajny
drive,prowadzić
hug,uścisk
shake,potrząsnąć
sense,sens
alright,W porządku
you'll,będziesz
dream,marzenie
hang,powiesić
clothes,odzież
act,działać
become,stać się
manage,zarządzać
meant,oznaczał
game,gra
ignore,ignorować
stair,schodek
taken,zajęty
party,impreza
add,dodać
sometimes,Czasami
job,stanowisko
ten,dziesięć
shot,strzał
date,data
quiet,cichy
gaze,spojrzenie
group,Grupa
loud,głośny
straight,prosty
dead,martwy
neck,szyja
beside,obok
pause,pauza
number,numer
conversation,rozmowa
chance,szansa
we'll,Dobrze
rose,Róża
quietly,cicho
town,miasto
blood,krew
color,kolor
desk,biurko
dinner,kolacja
hall,hala
horse,koń
music,muzyka
brought,przyniósł
piece,sztuka
anymore,nie więcej
beautiful,Piękny
order,zamówienie
fire,ogień
office,biuro
TRUE,PRAWDA
although,Chociaż
warm,ciepły
easy,łatwy
enter,Wchodzić
perfect,doskonały
mutter,mruczeć
softly,delikatnie
cross,przechodzić
shock,zaszokować
smirk,uśmiech
damn,Cholera
soft,miękki
stomach,żołądek
snap,pstryknąć
spoke,przemówił
tire,opona
box,skrzynka
catch,złapać
skin,skóra
teacher,nauczyciel
middle,środek
note,notatka
yourself,się
haven't,nie
lunch,obiad
tomorrow,jutro
breathe,oddychać
clean,czysty
except,z wyjątkiem
appear,pojawić się
lock,zamek
knock,pukanie
bathroom,łazienka
movie,film
agree,zgadzać się
offer,oferta
kick,kopnięcie
form,formularz
confuse,pomylić
lay,położyć
less,mniej
calm,spokój
slip,poślizg
weren't,nie było
sign,podpisać
dog,pies
lift,winda
immediately,natychmiast
arrive,przyjechać
deal,umowa
tonight,dziś wieczorem
usually,zazwyczaj
case,sprawa
frown,zmarszczyć brwi
shop,sklep
scare,przestraszyć
promise,obietnica
mum,milczący
couch,kanapa
pay,płacić
state,państwo
shit,gówno
wrap,zawinąć
pocket,kieszeń
hello,Witam
free,bezpłatny
huge,ogromny
ride,jeździć
bother,silić się
land,grunt
known,znany
especially,zwłaszcza
expression,wyrażenie
carry,nosić
ring,pierścień
spot,miejsce
allow,umożliwić
several,kilka
aren't,nie są
during,podczas
empty,pusty
lady,dama
eyebrow,brew
strange,dziwny
coffee,Kawa
road,droga
threw,rzucił
wide,szeroki
bus,autobus
forget,zapominać
gotten,Got
smell,zapach
fear,strach
press,naciskać
boyfriend,chłopak
blonde,blond
throw,rzucić
round,okrągły
sun,słońce
tall,wysoki
glad,zadowolony
age,wiek
write,pisać
upon,od
hide,ukrywać
became,stał się
crowd,tłum
rain,deszcz
save,ratować
trouble,kłopoty
annoy,denerwować
nose,nos
weird,dziwny
death,śmierć
beat,pokonać
tone,ton
trip,wycieczka
six,sześć
control,kontrola
nearly,prawie
consider,rozważać
gonna,zamierzać
join,dołączyć
learn,uczyć się
above,powyżej
hi,Cześć
obviously,oczywiście
entire,cały
direction,kierunek
foot,stopa
angry,zły
power,moc
strong,mocny
quick,szybki
doctor,lekarz
edge,krawędź
song,piosenka
asleep,we śnie
twenty,20
barely,ledwie
remain,pozostać
child,dziecko
enjoy,Cieszyć się
gun,pistolet
slow,powolny
city,miasto
broke,złamał
key,klucz
lead,Ołów
throat,gardło
normal,normalna
you'd,byś
somewhere,gdzieś
wake,budzić
pair,para
sky,niebo
funny,śmieszny
business,biznes
student,student
giggle,chichot
bright,jasny
admit,przyznawać 
jeans,dżinsy
given,dany
children,dzieci
store,sklep
sweet,słodki
low,Niski
climb,wspinać się
rub,pocierać
apartment,apartament
knee,kolano
shoe,but
attack,atak
bedroom,sypialnia
joke,żart
spent,zużyty
situation,sytuacja
stuck,zablokowany
gently,łagodnie
possible,możliwy
cell,komórka
mention,wzmianka
silent,cichy
definitely,zdecydowanie
rush,pośpiech
hung,zawieszony
brush,szczotka
perhaps,być może
groan,jęk
ass,tyłek
rock,głaz
card,karta
lose,stracić
blush,rumieniec
besides,Oprócz
crazy,zwariowany
type,typ
bore,nudziarz
afraid,przestraszony
chase,pościg
respond,reagować
marry,ożenić
remind,przypomnieć
pack,Pakiet
daughter,córka
serious,poważny
girlfriend,dziewczyna
mad,szalony
somehow,jakoś
buy,kupić
sent,wysłano
tight,obcisły
simply,po prostu
trust,zaufanie
imagine,wyobrażać sobie
wind,wiatr
chuckle,chichot
bar,bar
pink,różowy
shove,pchnięcie
ball,piłka
sight,wzrok
drag,ciągnąć
they'd,oni
human,człowiek
truth,prawda
share,udział
area,obszar
concern,obawa
shouldn't,nie powinno
team,zespół
escape,ucieczka
mumble,bełkot
often,często
search,szukaj
apparently,najwyraźniej
attempt,próba
son,syn
within,w
band,zespół
cute,Uroczy
led,prowadzony
memory,pamięć
anger,gniew
fly,latać
paint,farba
bottle,butelka
busy,zajęty
comment,komentarz
exclaim,zawołać
avoid,unikać
grow,rosnąć
grey,szary
mirror,lustro
gasp,dech zapierać ze zdziwienia
hallway,korytarz
dear,Drogi
star,gwiazda
sick,chory
cat,kot
counter,lada
interrupt,przerywać
none,nic
blink,migać
spend,wydawać
usual,zwykły
worse,gorzej
locker,Szafka
important,ważny
favorite,ulubiony
grip,chwyt
TV,telewizja
ice,lód
pretend,udawać
settle,rozstrzygnąć
amaze,zadziwiać
pop,Muzyka pop
disappear,zniknąć
carefully,ostrożnie
train,pociąg
stick,stick
guard,strażnik
teeth,zęby
flash,błysk
uncle,wujek
send,wysłać
doubt,wątpliwość
visit,odwiedzać
nervous,nerwowy
excite,podniecać
approach,zbliżać się
excuse,wymówka
fit,pasować
noise,hałas
study,badanie
letter,list
police,Policja
eventually,w końcu
burn,oparzenie
field,pole
hospital,szpital
tie,krawat
summer,lato
huh,Huh
shift,zmiana
self,samego siebie
hurry,spieszyć się
greet,powitać
wife,żona
position,pozycja
we've,Mamy
wipe,wytrzeć
heavy,ciężki
slam,zatrzasnąć
broken,złamany
complete,kompletny
space,przestrzeń
brain,mózg
tiny,malutki
pants,spodnie
ah,Ah
punch,dziurkacz
shower,prysznic
tongue,język
afternoon,popołudnie
seriously,poważnie
cup,filiżanka
further,dalej
race,wyścig
recognize,rozpoznać
computer,komputer
rang,zadzwonił
safe,bezpieczna
jacket,kurtka
bottom,spód
hundred,sto
relax,zrelaksować się
sudden,nagły
wow,Wow
college,Szkoła Wyższa
flip,trzepnięcie
mood,nastrój
track,ścieżka
crack,pękać
block,blok
handle,uchwyt
themselves,sobie
drove,stado
seven,siedem
struggle,walka
whether,czy
ahead,dalej
sad,smutny
dry,suchy
women,kobiety
focus,centrum
repeat,powtarzać
thick,gruby
relationship,relacja
jerk,szarpać
present,obecny
suck,ssać
bell,dzwonek
surround,otaczać
evening,wieczór
bite,ugryzienie
single,pojedynczy
fault,wada
shadow,cień
wood,drewno
easily,łatwo
woke,obudził
smoke,palić
draw,rysować
suggest,sugerować
wet,mokry
accept,zaakceptować
third,trzeci
totally,całkowicie
wore,nosił
breakfast,śniadanie
trail,ścieżka
animal,zwierzę
warn,ostrzegać
aunt,ciotka
sir,Pan
piss,siki
burst,pękać
match,mecz
fix,naprawić
practically,praktycznie
odd,dziwne
wash,myć się
sing,śpiewać
inch,cal
size,rozmiar
secret,sekret
who's,kto jest
clock,zegar
company,firma
view,pogląd
suit,garnitur
forever,na zawsze
familiar,znajomy
forehead,czoło
shoot,strzelać
grew,dorastał
stretch,rozciągać się
pound,funt
despite,pomimo
response,odpowiedź
center,Centrum
curl,kędzior
slight,niewielki
toss,podrzucenie
beneath,pod
fist,pięść
welcome,Witamy
laughter,śmiech
angel,anioł
Christmas,Boże Narodzenie
we'd,poślubić
main,główny
simple,prosty
neither,żaden
distance,dystans
comfort,komfort
upset,zdenerwowany
assume,przypuszczać
eight,osiem
gather,zebrać
lucky,mający szczęście
fade,znikać
Ms.,SM.
coat,płaszcz
special,specjalny
awkward,niezręczny
certain,niektórzy
plate,płyta
darkness,ciemność
practice,ćwiczyć
obvious,oczywiste
grade,stopień
cream,krem
choice,wybór
hardly,ledwie
pale,blady
thin,cienki
button,przycisk
chocolate,czekolada
refuse,odmawiać
slid,zsunął się
pillow,poduszka
thirty,trzydzieści
count,liczyć
honestly,Szczerze mówiąc
poor,słaby
motion,ruch
storm,burza
lightly,lekko
nobody,nikt
experience,doświadczenie
path,ścieżka
period,okres
dare,odważyć się
demand,popyt
comfortable,wygodny
clearly,Wyraźnie
silver,srebro
peer,rówieśnik
birthday,urodziny
disgust,niesmak
embarrass,zawstydzić
bought,kupił
test,test
lap,okrążenie
bet,Zakład
loudly,głośno
driver,kierowca
murmur,szmer
taste,smak
perfectly,doskonale
squeeze,ściskać
board,tablica
worth,wartość
fold,zginać
spread,rozpowszechnianie się
crap,gówno
emotion,emocja
subject,temat
pour,wlać
laid,położony
lower,niżej
mile,Mila
yea,tak 
page,strona
pile,stos 
snow,śnieg
message,wiadomość
English,język angielski
scene,scena
sink,zlew
fail,ponieść porażkę
forgot,zapomniałem
hole,otwór
silently,bezgłośnie
heat,ciepło
weekend,weekend
drew,rysował
guitar,gitara
sweat,pot
unless,chyba że
cloud,Chmura
waist,talia
slap,policzkować
argue,kłócić się 
grass,trawa
idiot,idiota
screen,ekran
yesterday,Wczoraj
swear,przeklinać
twin,bliźniak
instantly,natychmiast
apart,oprócz
narrow,wąski
opposite,naprzeciwko
blow,cios
wrist,nadgarstek
earth,ziemia
action,działanie
circle,koło
forgotten,zapomniany
list,lista
closet,gabinet
drunk,pijany
shape,kształt
yellow,żółty
twist,skręcać
weight,waga
smart,mądry
it'll,będzie
treat,traktować
pool,basen
prepare,przygotowywać
awake,obudzony
certainly,z pewnością
tease,podjudzać
contact,kontakt
slide,slajd
wonderful,wspaniały
bitch,suka
reveal,ujawnić
swing,huśtać się
truck,ciężarówka
anywhere,gdziekolwiek
flower,kwiat
upstairs,na górę
hers,jej
itself,samo
wander,wędrować
downstairs,na dole
football,piłka nożna
possibly,prawdopodobnie
rip,rozerwać
forest,las
mostly,głównie
bloody,krwawy
church,kościół
gay,Gay
stone,kamień
husband,mąż
sex,seks
trick,sztuczka
yours,twój
growl,warczeć
club,Klub
Friday,Piątek
stage,scena
include,włączać
sip,łyk
invite,zapraszać
sharp,ostry
convince,przekonać
sheet,arkusz
absolutely,absolutnie
orange,Pomarańczowy
relief,ulga
apologize,przepraszać
art,sztuka
he'll,piekło
remove,usunąć
crash,rozbić się
van,awangarda
curse,przekleństwo
alive,żywy
blanket,koc
receive,odbierać
tip,wskazówka
rise,wzrastać
tightly,ciasno
waste,marnować
bowl,miska
fallen,upadły
river,rzeka
mama,mama
pace,tempo
honey,Miód
swallow,połykać
king,król
camera,kamera
deserve,zasługiwać
dirty,brudny
chin,podbródek
doorway,wejście
image,obraz
cookie,ciastko
homework,Praca domowa
hat,kapelusz
luck,szczęście
aside,na bok
information,Informacja
fifteen,piętnaście
fair,sprawiedliwy
player,gracz
monster,potwór
gate,brama
win,wygrać
below,poniżej
ceiling,sufit
click,Kliknij
cook,kucharz
travel,podróż
fish,ryba
lit,oświetlony
nervously,nerwowo
towel,ręcznik
shiver,dreszcz
final,finał
horrible,straszny
station,stacja
camp,obóz
hungry,głodny
thousand,tysiąc
evil,zło
rich,bogaty
war,wojna
involve,zaangażować
jaw,szczęka
uncomfortable,niewygodny
directly,bezpośrednio
level,poziom
double,podwójnie
nine,dziewięć
creature,kreatura
glow,blask
somewhat,nieco
blame,winić
entrance,wejście
hip,biodro
fresh,świeży
hiss,syk
normally,normalnie
tap,uzyskiwać
machine,maszyna
ruin,ruina
bear,niedźwiedź
rule,reguła
till,do
cock,kogut
stumble,potknąć się
complain,narzekać
everybody,wszyscy
truly,naprawdę
nurse,pielęgniarka
speed,prędkość
hmm,Hmm
panic,panika
smooth,gładki
weak,słaby
good-bye,do widzenia
would've,byłby
extra,dodatkowy
gesture,gest
scowl,groźne spojrzenie
beer,piwo
release,uwolnienie
country,kraj
officer,oficer
careful,ostrożny
create,tworzyć
hill,wzgórze
snort,parsknięcie
flew,latał
heel,obcas
brow,brew
charge,opłata
flat,płaski
plus,plus
switch,przełącznik
whenever,"zawsze, gdy"
drift,dryf
metal,metal
discover,odkryć
wheel,koło
skirt,spódnica
pat,poklepać
ate,zjadł
tea,herbata
hotel,hotel
sob,szloch
future,przyszły
record,nagrywać
boot,uruchomić
likely,prawdopodobnie
cheer,wiwat
gold,złoto
prove,udowodnić
ha,ha
twice,dwa razy
aware,świadomy
lack,brak
princess,księżniczka
bench,ławka
cousin,kuzyn
detail,Szczegół
amount,kwota
bird,ptak
backward,do tyłu
crush,zmiażdżyć
cigarette,papieros
faint,mdleć
belong,przynależeć
stranger,nieznajomy
beach,plaża
load,obciążenie
everywhere,wszędzie
scratch,zadrapanie
history,historia
restaurant,restauracja
event,wydarzenie
extremely,niezwykle
widen,poszerzać
clutch,sprzęgło
due,należny
tug,holownik
beyond,poza
happily,szczęśliwie
mistake,błąd
palm,palma
amuse,bawić
guest,gość
Saturday,Sobota
wooden,drewniany
worst,najgorszy
exit,Wyjście
plastic,Plastikowy
reality,rzeczywistość
wince,drgnienie
announce,ogłaszać
gotta,musieć
slept,spał
she'll,powłoka
member,członek
choose,wybierać
Dr.,Dr.
swim,pływać
alarm,alarm
crawl,czołgać się
dollar,dolar
knife,nóż
magic,magia
paid,płatny
pizza,Pizza
purse,torebka
gift,prezent
chicken,kurczak
plane,samolot
choke,dusić
screw,śruba
protest,protest
base,baza
drug,lek
introduce,wprowadzić
sleeve,rękaw
movement,ruch
loose,luźny
bare,odsłonić
wanna,chcieć
difficult,trudny
frame,rama
spin,kręcić się
fake,podróbka
pen,długopis
understood,zrozumiany
nor,ani
unfortunately,Niestety
written,pisemny
decision,decyzja
beg,błagać
heavily,ciężko
insist,nalegać
soul,dusza
random,losowy
sport,sport
male,Mężczyzna
urge,pragnienie
million,milion
yawn,ziewać
backpack,plecak
judge,sędzia
startle,przestraszyć
bunch,garść
stream,strumień
they'll,Będą
muscle,mięsień
yard,dziedziniec
accident,wypadek
dragon,smok
sentence,zdanie
fool,głupiec
torn,rozdarty
bow,ukłon
echo,Echo
mix,mieszać
bury,pogrzebać
system,system
dirt,brud
spirit,duch
leaf,liść
protect,chronić
row,wiersz
forth,naprzód
purple,fioletowy
bang,huk
curious,ciekawski
nearby,w pobliżu
nowhere,nigdzie
collapse,zawalić się
hop,chmiel
proud,dumny
wing,skrzydło
destroy,zniszczyć
sea,morze
separate,oddzielny
silly,głupi
wound,rana
honest,uczciwy
battle,bitwa
born,urodzić się
cough,kaszel
mountain,Góra
split,podział
square,kwadrat
underneath,pod 
bike,rower
process,proces
somebody,ktoś
classroom,klasa
presence,obecność
whose,którego
grown,dorosły
hidden,ukryty
serve,podawać
female,Kobieta
garden,ogród
meal,posiłek
unable,niezdolny
elbow,łokieć
support,wsparcie
bridge,most
reaction,reakcja
skip,pominąć
wild,dziki
angrily,gniewnie
effect,efekt
threaten,zagrozić
basically,zasadniczo
smack,uderzyć
stroke,udar
flow,przepływ
moan,jęk
plant,zakład
impossible,niemożliwe
bruise,siniak
disappoint,zawieść
energy,energia
relieve,łagodzić : uśmierzać
confusion,dezorientacja
wedding,ślub
fat,tłuszcz
bill,rachunek
dude,gość
address,adres
cast,rzucać 
naked,nagi
toy,zabawka
math,matematyka
personal,osobisty
ship,statek
spun,uprzedzony
chat,czat
pray,modlić się
whip,bicz
grasp,chwyt
hasn't,nie
float,platforma
fully,w pełni
gorgeous,przepiękny
indeed,Rzeczywiście
nail,gwóźdź
vision,wizja
innocent,niewinny
friendly,przyjazny
jealous,zazdrosny
swung,machany
flame,płomień
dorm,sala sypialna
driveway,podjazd
spill,rozlanie
gang,banda
murder,morderstwo
respect,szacunek
bent,zgięty
tail,ogon
inform,poinformować
lesson,lekcja
whine,skomleć
clench,zaciskać
excitement,podniecenie
library,biblioteka
lord,Lord
surface,powierzchnia
dust,pył
dump,wysypisko
feature,funkcja
object,obiekt
weapon,broń
calmly,spokojnie
hesitate,wahać się
hint,wskazówka
law,prawo
magazine,czasopismo
among,wśród
boss,szef
file,plik
leather,skóra
result,wynik
thrown,rzucony
toe,palec u nogi
terrible,straszny
local,lokalny
project,projekt
won,wygrał
radio,radio
regret,żal
grumble,narzekać
otherwise,W przeciwnym razie
ridiculous,śmieszny
CD,płyta CD
lovely,śliczny
mock,kpina
effort,wysiłek
fan,wentylator
nerve,nerw
report,raport
stall,stoisko
elevator,winda
mate,kumpel
bastard,bękart
grunt,chrząknięcie
o'clock,godzina
rope,lina
entirely,całkowicie
frighten,przestraszyć
shade,cień
strength,wytrzymałość
bone,kość
exchange,giełda
flight,lot
Monday,Poniedziałek
partner,partner
plain,zwykły
shine,świecić
cafeteria,stołówka
beam,Belka
exist,istnieć
porch,ganek
queen,królowa
squeal,pisk
faith,wiara
pierce,przebić
remark,uwaga
content,treść
ease,łatwość
flick,trzepnięcie
mall,centrum handlowe
cannot,Nie mogę
carpet,dywan
length,długość
replace,zastępować
duck,kaczka
bump,uderzenie
common,wspólny
style,styl
tan,dębnik
cake,ciasto
court,sąd
previous,poprzedni
balance,balansować
bank,Bank
blind,ślepy
dangerous,niebezpieczny
particular,konkretny
sell,sprzedać
wrote,napisał
distract,rozpraszać
melt,stopić
popular,popularny
social,społeczny
teach,uczyć
appearance,wygląd
correct,prawidłowy
lake,jezioro
public,publiczny
sarcastically,sarkastycznie
guilty,winny
kinda,poniekąd
shall,być
television,telewizja
boat,łódź
firmly,mocno
tent,namiot
thumb,kciuk
manner,sposób
flush,spłukać
roof,dach
schedule,harmonogram
dine,jeść obiad
weather,pogoda
casually,od niechcenia
moon,księżyc
difference,różnica
butt,krupon
charm,czar
feed,karmić
frustration,udaremnienie
gentle,delikatny
hook,hak
bounce,odbić się
particularly,w szczególności
pleasure,przyjemność
sneak,skradać się
leader,lider
rage,wściekłość
shriek,wrzask
suffer,cierpieć
Sunday,Niedziela
argument,argument
pregnant,w ciąży
discuss,omówić
statement,oświadczenie
ticket,bilet
dig,kopać
doll,LALKA
chill,chłod
fence,ogrodzenie
horror,przerażenie
built,wybudowany
cop,policjant
security,bezpieczeństwo
sidewalk,chodnik
breast,pierś
curtain,kurtyna
whom,kogo
fifty,pięćdziesiąt
giant,ogromny
milk,mleko
recall,przypomnienie sobie czegoś
term,termin
footstep,odgłos kroków
stun,oszołomić
tuck,podwinąć
clothing,odzież
lick,lizać
joy,radość
ugly,brzydki
hopefully,miejmy nadzieję
soldier,żołnierz
plead,błagać
struck,uderzony
trap,pułapka
opinion,opinia
plenty,mnóstwo
tank,czołg
breeze,Bryza
awesome,Wspaniały
desire,pragnienie
roommate,współlokator
halfway,W połowie drogi
opportunity,możliwość
outfit,strój
rough,surowy
ain't,nie
beauty,uroda
chose,wybrał
snake,wąż
tape,taśma
badly,źle
cheat,oszukiwać
daddy,tatuś
roar,ryk
describe,opisać
desperately,desperacko
height,wysokość
thigh,udo
tilt,nachylenie
deeply,głęboko
friendship,przyjaźń
winter,zima
witch,czarownica
worn,noszony
condition,stan
enemy,wróg
golden,złoty
sofa,sofa
master,gospodarz
rude,niegrzeczny
throughout,na wskroś
assure,gwarantować
damage,szkoda
natural,naturalny
steal,ukraść
belt,pasek
cage,klatka szybowa
claim,prawo
nightmare,koszmar
prefer,woleć
purpose,zamiar
merely,zaledwie
pin,szpilka
French,Francuski
sadly,Niestety
uniform,mundur
branch,oddział
direct,bezpośredni
hunter,myśliwy
juice,sok
character,postać
pure,czysty
stain,plama
various,różny
gain,osiągać
soak,moczyć
lately,ostatnio
pitch,poziom
accent,akcent
they've,oni
tremble,drżeć
cabin,kabina
chew,żuć
physical,fizyczny
puzzle,puzzle
explode,eksplodować
steady,stały
how's,Jak
pet,zwierzak domowy
sake,powód
compare,porównywać
principal,główny
scan,skanowanie
forty,czterdzieści
impress,imponować
mentally,umysłowo
react,reagować
sandwich,kanapka
shy,nieśmiały
twelve,dwanaście
whilst,podczas
bullet,pocisk
challenge,wyzwanie
command,Komenda
examine,zbadać
film,film
